
4 K 8 K,#genre#
甘肃卫视,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000011000031121.m3u8%3Fcdn%3Dbestzb$itv
青海卫视,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000002000013359.m3u8%3Fcdn%3Dystenlive$itv

地方频道,#genre#
北京纪实科教,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000001000001910.m3u8%3Fcdn%3Dystenlive$itv
北京纪实科教-HEVC,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F1000000005000265020.m3u8%3Fcdn%3Dystenlive$itv-HEVC
北京卡酷少儿,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000011000265008.m3u8%3Fcdn%3Dbestzb$itv
湖南金鹰纪实,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000011000031203.m3u8%3Fcdn%3Dbestzb$itv
湖南快乐垂钓,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000011000031206.m3u8%3Fcdn%3Dbestzb$itv
湖南茶频道,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000011000031209.m3u8%3Fcdn%3Dbestzb$itv
上海-ICS-外语,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000010000030951.m3u8%3Fcdn%3Dbestzb$itv-ICS-外语
上海第一财经,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000010000027146.m3u8%3Fcdn%3Dbestzb$itv
上海东方财经,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000007000010003.m3u8%3Fcdn%3Dbestzb$itv
上海东方影视,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000010000032212.m3u8%3Fcdn%3Dbestzb$itv
上海都市,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000010000018926.m3u8%3Fcdn%3Dbestzb$itv
上海法治天地,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F2000000002000000014.m3u8%3Fcdn%3Dhnbblive$itv
上海哈哈炫动,http://192.168.0.105:35456/jump?url=http%3A%2F%2F192.168.0.105%3A35455%2Fitv%2F5000000011000031123.m3u8%3Fcdn%3Dbestzb$itv
